Year,Common #,Indi. #,Risk factor,Formation,Type,Journal,Short reference,Full reference,Link without href,Predictability.in.OP,Coverage,New Journal,notes
NA,19,NA,Change in long-term inflationary expectations,Change in long-term inflationary expectations,Common macro,Journal of Banking and Finance,Ferson and Harvey (1994),"Ferson, Wayne and Campbell Harvey, 1994, ``Sources of risk and expected returns in global equity markets"", Journal of Banking and Finance 18, 775-803.",http://www.sciencedirect.com/science/article/pii/037842669300020P,z2_notfirm,not company stocks,NA,targets country portfolios
NA,NA,NA,Change in oil price,Change in the monthly average US dollar price per barrel of crude oil,Common macro,Review of Financial Studies,Ferson and Harvey (1993),"Ferson, Wayne E. and Campbell R. Harvey, 1993, ``The risk and predictability of international equity returns"", Review of Financial Studies 6, 527-566.",http://www.jstor.org./stable/pdfplus/2961978.pdf,z2_notfirm,not company stocks,NA,targets country portfolios
NA,NA,NA,Change in oil price,Change in the monthly average US dollar price per barrel of crude oil,Common macro,Journal of Banking and Finance,Ferson and Harvey (1994),"Ferson, Wayne and Campbell Harvey, 1994, ``Sources of risk and expected returns in global equity markets"", Journal of Banking and Finance 18, 775-803.",http://www.sciencedirect.com/science/article/pii/037842669300020P,z2_notfirm,not company stocks,NA,targets country portfolios
NA,NA,NA,Change in the Eurodollar-Treasury yield spread,First difference of the spread between the 90-day Eurodollar yield and the 90-day Treasury-bill yield,Common financial,Review of Financial Studies,Ferson and Harvey (1993),"Ferson, Wayne E. and Campbell R. Harvey, 1993, ``The risk and predictability of international equity returns"", Review of Financial Studies 6, 527-566.",http://www.jstor.org./stable/pdfplus/2961978.pdf,z2_notfirm,not company stocks,NA,targets country portfolios
NA,NA,NA,Change in weighted exchange rate,Log first difference of the trade-weighted US dollar price of ten industrialized countries' currencies,Common financial,Review of Financial Studies,Ferson and Harvey (1993),"Ferson, Wayne E. and Campbell R. Harvey, 1993, ``The risk and predictability of international equity returns"", Review of Financial Studies 6, 527-566.",http://www.jstor.org./stable/pdfplus/2961978.pdf,z2_notfirm,not company stocks,NA,targets country portfolios
NA,18,NA,Change in weighted exchange rate,Log first difference of the trade-weighted US dollar price of ten industrialized countries' currencies,Common financial,Journal of Banking and Finance,Ferson and Harvey (1994),"Ferson, Wayne and Campbell Harvey, 1994, ``Sources of risk and expected returns in global equity markets"", Journal of Banking and Finance 18, 775-803.",http://www.sciencedirect.com/science/article/pii/037842669300020P,z2_notfirm,not company stocks,NA,targets country portfolios
1999,28,NA,Fitted return based on predictive regressions,"Expected portfolio return obtained by projecting historical returns on lagged macro instruments, including term spreads, dividend yield, credit spread and short-term Treasury bill",Common financial,Journal of Finance,Ferson and Harvey (1999),"Ferson, Wayne E. and Campbell R. Harvey, 1999, ``Conditioning variables and the cross section of stock returns"", Journal of Finance 54, 1325-1360.",http://www.jstor.org/stable/pdfplus/798007.pdf,z2_notfirm,not company stocks,NA,targets country portfolios
NA,NA,NA,Unexpected inflation for the G-7 countries,Unexpected inflation based on a time-series model on an aggregate G-7 inflation rate,Common macro,Review of Financial Studies,Ferson and Harvey (1993),"Ferson, Wayne E. and Campbell R. Harvey, 1993, ``The risk and predictability of international equity returns"", Review of Financial Studies 6, 527-566.",http://www.jstor.org./stable/pdfplus/2961978.pdf,z2_notfirm,not company stocks,NA,targets country portfolios
NA,NA,NA,Weighted real short-term interest rate,GDP weighted average of short-term interest rates in G-7 countries,Common financial,Review of Financial Studies,Ferson and Harvey (1993),"Ferson, Wayne E. and Campbell R. Harvey, 1993, ``The risk and predictability of international equity returns"", Review of Financial Studies 6, 527-566.",http://www.jstor.org./stable/pdfplus/2961978.pdf,z2_notfirm,not company stocks,NA,targets country portfolios
1993,NA,NA,World equity return,US dollar return of the MSCI world equity market in excess of a short-term interest rate,Common financial,Review of Financial Studies,Ferson and Harvey (1993),"Ferson, Wayne E. and Campbell R. Harvey, 1993, ``The risk and predictability of international equity returns"", Review of Financial Studies 6, 527-566.",http://www.jstor.org./stable/pdfplus/2961978.pdf,z2_notfirm,not company stocks,NA,targets country portfolios
1994,17,NA,World equity return,US dollar return of the MSCI world equity market in excess of a short-term interest rate,Common financial,Journal of Banking and Finance,Ferson and Harvey (1994),"Ferson, Wayne and Campbell Harvey, 1994, ``Sources of risk and expected returns in global equity markets"", Journal of Banking and Finance 18, 775-803.",http://www.sciencedirect.com/science/article/pii/037842669300020P,z2_notfirm,not company stocks,NA,targets country portfolios
NA,NA,NA,Dividend yield,Dividend yield on value-weighted index,Common financial,Journal of Political Economy,Campbell (1996),"Campbell, John Y., 1996,  ``Understanding risk and return"", Journal of Political Economy 104, 298-345.",http://dash.harvard.edu/bitstream/handle/1/3153293/campbell_risk.pdf,z2_notfirm,not cross section,NA,NA
2000,29,NA,Entrepreneur income,Proprietary income of entrepreneurs,Common financial,Journal of Finance,Heaton and Lucas (2000),"Heaton, John and Deborah Lucas, 2000, ``Portfolio choice and asset prices: The importance of entrepreneurial risk"", Journal of Finance 55, 1163-1198.",http://www.jstor.org/stable/pdfplus/222449.pdf,z2_notfirm,not cross section,NA,Not even sure how to classify this paper. It's not about asset pricing but about portfolios across the household wealth distribution.
2005,46,NA,Housing price ratio,Ratio of housing to human wealth,Common financial,Journal of Finance,Lustig and Nieuwerburgh (2005),"Lustig, Hanno N. and Stijn G. Van Neiuwerburgh, 2005, ``Housing collateral, consumption insurance, and risk premia: An empirical perspective"", Journal of Finance 60, 1167-1219.",http://www.jstor.org/stable/pdfplus/3694924.pdf,z2_notfirm,not cross section,NA,NA
NA,NA,NA,Labor income,Real labor income growth rate,Common macro,Journal of Political Economy,Campbell (1996),"Campbell, John Y., 1996,  ``Understanding risk and return"", Journal of Political Economy 104, 298-345.",http://dash.harvard.edu/bitstream/handle/1/3153293/campbell_risk.pdf,z2_notfirm,not cross section,NA,NA
1996,NA,NA,Market return,Equity index return,Common financial,Journal of Political Economy,Campbell (1996),"Campbell, John Y., 1996,  ``Understanding risk and return"", Journal of Political Economy 104, 298-345.",http://dash.harvard.edu/bitstream/handle/1/3153293/campbell_risk.pdf,z2_notfirm,not cross section,NA,NA
NA,NA,NA,Term structure,Long-short government bond yield spread,Common financial,Journal of Political Economy,Campbell (1996),"Campbell, John Y., 1996,  ``Understanding risk and return"", Journal of Political Economy 104, 298-345.",http://dash.harvard.edu/bitstream/handle/1/3153293/campbell_risk.pdf,z2_notfirm,not cross section,NA,NA
NA,NA,NA,Distressed investment strategy return,Return for hedge funds that follow a distressed investment strategy,Common financial,Review of Financial Studies,Fung and Hsieh (1997),"Fung, William and David A. Hsieh, 1997, ``Empirical characteristics of dynamic trading strategies: The case of hedge funds"", Review of Financial Studies 10, 275-302.",http://www.jstor.org/stable/pdfplus/2962347.pdf,z2_notfirm,not cross section,NA,NA
NA,NA,NA,Global/macro strategy return,Return for hedge funds that follow a global/macro strategy,Common financial,Review of Financial Studies,Fung and Hsieh (1997),"Fung, William and David A. Hsieh, 1997, ``Empirical characteristics of dynamic trading strategies: The case of hedge funds"", Review of Financial Studies 10, 275-302.",http://www.jstor.org/stable/pdfplus/2962347.pdf,z2_notfirm,not cross section,NA,NA
1997,NA,NA,Opportunistic strategy return,Return for hedge funds that follow an opportunistic strategy,Common financial,Review of Financial Studies,Fung and Hsieh (1997),"Fung, William and David A. Hsieh, 1997, ``Empirical characteristics of dynamic trading strategies: The case of hedge funds"", Review of Financial Studies 10, 275-302.",http://www.jstor.org/stable/pdfplus/2962347.pdf,z2_notfirm,not cross section,NA,NA
2001,NA,NA,Straddle return,Lookback straddles' returns constructed based on option prices,Common financial,Review of Financial Studies,Fung and Hsieh (2001),"Fung, William and David Hsieh, 2001, ``The risk in hedge fund strategies: Theory and evidence from trend followers"", Review of Financial Studies 14, 313-341.",http://www.jstor.org/stable/10.2307/2696743,z2_notfirm,not cross section,NA,NA
NA,NA,NA,Trend following strategy return,Return for hedge funds that follow a trend following strategy,Common financial,Review of Financial Studies,Fung and Hsieh (1997),"Fung, William and David A. Hsieh, 1997, ``Empirical characteristics of dynamic trading strategies: The case of hedge funds"", Review of Financial Studies 10, 275-302.",http://www.jstor.org/stable/pdfplus/2962347.pdf,z2_notfirm,not cross section,NA,NA
NA,NA,NA,Value strategy return,Return for hedge funds that follow a value strategy,Common financial,Review of Financial Studies,Fung and Hsieh (1997),"Fung, William and David A. Hsieh, 1997, ``Empirical characteristics of dynamic trading strategies: The case of hedge funds"", Review of Financial Studies 10, 275-302.",http://www.jstor.org/stable/pdfplus/2962347.pdf,z2_notfirm,not cross section,NA,NA
NA,13,NA,Change in the slope of the yield curve,Change in the difference between a 10-year Treasury bond yield and a 3-month Treasury bill yield,Common financial,Journal of Political Economy,Ferson and Harvey (1991),"Ferson, Wayne E. and Campbell R. Harvey, 1991, ``The variation of economic risk premiums"", Journal of Political Economy, 99, 385-415.",http://www.jstor.org/stable/pdfplus/2937686.pdf,z2_notfirm,not predictive,NA,only tested on size-sorted portfolios + bonds
NA,NA,NA,Consumption growth,Real per capita growth of personal consumption expenditures for nondurables & services,Common macro,Journal of Political Economy,Ferson and Harvey (1991),"Ferson, Wayne E. and Campbell R. Harvey, 1991, ``The variation of economic risk premiums"", Journal of Political Economy, 99, 385-415.",http://www.jstor.org/stable/pdfplus/2937686.pdf,z2_notfirm,not stock level cross section,NA,only tested on size-sorted portfolios + bonds
NA,NA,NA,Credit spread,Baa corporate bond return less monthly long-term government bond return,Common financial,Journal of Political Economy,Ferson and Harvey (1991),"Ferson, Wayne E. and Campbell R. Harvey, 1991, ``The variation of economic risk premiums"", Journal of Political Economy, 99, 385-415.",http://www.jstor.org/stable/pdfplus/2937686.pdf,z2_notfirm,not stock level cross section,NA,only tested on size-sorted portfolios + bonds
NA,14,NA,Real short rate,One-month Treasury bill return less inflation rate,Common financial,Journal of Political Economy,Ferson and Harvey (1991),"Ferson, Wayne E. and Campbell R. Harvey, 1991, ``The variation of economic risk premiums"", Journal of Political Economy, 99, 385-415.",http://www.jstor.org/stable/pdfplus/2937686.pdf,z2_notfirm,not stock level cross section,NA,only tested on size-sorted portfolios + bonds
NA,NA,NA,Unexpected inflation,Difference between actual and time-series forecasts of inflation rate,Common macro,Journal of Political Economy,Ferson and Harvey (1991),"Ferson, Wayne E. and Campbell R. Harvey, 1991, ``The variation of economic risk premiums"", Journal of Political Economy, 99, 385-415.",http://www.jstor.org/stable/pdfplus/2937686.pdf,z2_notfirm,not stock level cross section,NA,only tested on size-sorted portfolios + bonds
2008,75,NA,Liquidity,Systematic liquidity extracted from eight empirical liquidity measures,Common microstructure,Journal of Financial Economics,Korajczyk and Sadka (2008),"Korajczyk, Robert A. and Ronnie Sadka, 2008, ``Pricing the commonality across alternative measures of liquidity"", Journal of Financial Economics 87, 45-72.",http://www.sciencedirect.com/science/article/pii/S0304405X07001572#,z2_notfirm,not predictive,NA,Table 9 shows weak predictability in long-short extreme portfolios (some in less extreme)
2012,NA,164,Product price change,Cumulative product price changes since an industry enters the producer price index program,Individual financial,Working Paper,Van Binsbergen (2012),"Van Binsbergen, Jules H., 2009, ``Good-specific habit formation and the cross-section of expected returns"", Working Paper.",http://www.haas.berkeley.edu/groups/finance/Habits_and_the_cross_section.pdf,z2_notfirm,not stock level cross section,JF,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jofi.12397
2012,NA,175,Stock-cash flow sensitivity,Stock-cash flow sensitivity estimated from a structural one-factor contingent-claim model,Individual financial,Working Paper,Chen and Strebulaev (2012),"Chen, Zhiyao and Ilya Strebulaev, ``Contingent-claim-based expected stock returns"", Working Paper.",http://www.efmaefm.org/0EFMAMEETINGS/EFMA%20ANNUAL%20MEETINGS/2012-Barcelona/papers/EFMA2012_0582_fullpaper.pdf,z2_notfirm,not stock level cross section,WP,NA
2012,NA,189,Carry,Expected return minus expected price appreciation,Individual financial,Working Paper,"Koijen, Moskowitz, Pedersen and Vrugt (2012)","Koijen, Ralph, Tobias Moskowitz, Lasse Heje Pedersen and Evert Vrugt, 2012, Carry, Working Paper, University of Chicago.",http://pages.stern.nyu.edu/~lpederse/papers/Carry.pdf,z2_notfirm,not stock level cross section,JFE,https://reader.elsevier.com/reader/sd/pii/S0304405X17302908
NA,11,NA,Change in oil prices,Growth rate in oil prices,Common macro,Journal of Business,"Chen, Roll and Ross (1986)","Chen, Nai-Fu, Richard Roll and Stephen A. Ross, 1986,  ``Economic forces and stock market"", Journal of Business 59, 383-403.",http://www.jstor.org/stable/pdfplus/2352710.pdf,z2_notfirm,not stock level cross section,NA,size sorted portfolios in Tab 4
NA,NA,NA,Changes in expected inflation,Changes in expected inflation as defined in Fama and Gibbons (1984),Common macro,Journal of Business,"Chen, Roll and Ross (1986)","Chen, Nai-Fu, Richard Roll and Stephen A. Ross, 1986,  ``Economic forces and stock market"", Journal of Business 59, 383-403.",http://www.jstor.org/stable/pdfplus/2352710.pdf,z2_notfirm,not stock level cross section,NA,size sorted portfolios in Tab 4
2012,109,NA,Commodity index,Open interest-weighted total index that aggregates 33 commodities,Common financial,Working Paper,"Boons, Roon and Szymanowska (2012)","Boons, Martijn, Frans de Roon and Marta Szymanowska, 2012, The stock market price of commodity risk, Working Paper, Tilburg University.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1785728&download=yes,z2_notfirm,not stock level cross section,WP,NA
NA,NA,NA,Credit premium,"Risk premium measured as difference in return between ``under Baa"" bond portfolio and long-term government bond portfolio",Common financial,Journal of Business,"Chen, Roll and Ross (1986)","Chen, Nai-Fu, Richard Roll and Stephen A. Ross, 1986,  ``Economic forces and stock market"", Journal of Business 59, 383-403.",http://www.jstor.org/stable/pdfplus/2352710.pdf,z2_notfirm,not stock level cross section,NA,size sorted portfolios in Tab 4
2012,106,NA,Future growth in the opportunity cost of money,Opportunity cost of money as proxied by 3-month Treasury bill rate or effective Federal Funds rate,Common macro,Working Paper,Lioui and Maio (2012),"Lioui, Abraham and Paulo Maio, 2012,  ``Interest rate risk and the cross-section of stock returns"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1571481,z2_notfirm,not stock level cross section,JFQA,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/article/interest-rate-risk-and-the-cross-section-of-stock-returns/CD067D70455136EA67D4C2D058C596F6
NA,98,NA,Income growth for distributive industries,Income growth for distributive industries,Common macro,Journal of Finance,Eiling (2012),"Eiling, Esther, 2012, ``Industry-specific human capital, idiosyncratic risk, and the cross-section of expected stock returns"", The Journal of Finance.",http://northernfinance.org/2008/papers/209.pdf,z2_notfirm,not stock level cross section,NA,predicts size/BM and size/beta sorted portfolio returns
2012,96,NA,Income growth for goods producing industries,Income growth for goods producing industries,Common macro,Journal of Finance,Eiling (2012),"Eiling, Esther, 2012, ``Industry-specific human capital, idiosyncratic risk, and the cross-section of expected stock returns"", The Journal of Finance.",http://northernfinance.org/2008/papers/209.pdf,z2_notfirm,not stock level cross section,NA,predicts size/BM and size/beta sorted portfolio returns
NA,100,NA,Income growth for government,Income growth for government,Common macro,Journal of Finance,Eiling (2012),"Eiling, Esther, 2012, ``Industry-specific human capital, idiosyncratic risk, and the cross-section of expected stock returns"", The Journal of Finance.",http://northernfinance.org/2008/papers/209.pdf,z2_notfirm,not stock level cross section,NA,predicts size/BM and size/beta sorted portfolio returns
NA,97,NA,Income growth for manufacturing industries,Income growth for manufacturing industries,Common macro,Journal of Finance,Eiling (2012),"Eiling, Esther, 2012, ``Industry-specific human capital, idiosyncratic risk, and the cross-section of expected stock returns"", The Journal of Finance.",http://northernfinance.org/2008/papers/209.pdf,z2_notfirm,not stock level cross section,NA,predicts size/BM and size/beta sorted portfolio returns
NA,99,NA,Income growth for service industries,Income growth for service industries,Common macro,Journal of Finance,Eiling (2012),"Eiling, Esther, 2012, ``Industry-specific human capital, idiosyncratic risk, and the cross-section of expected stock returns"", The Journal of Finance.",http://northernfinance.org/2008/papers/209.pdf,z2_notfirm,not stock level cross section,NA,predicts size/BM and size/beta sorted portfolio returns
1986,NA,NA,Industrial production growth,Seasonally adjusted monthly growth rate of industrial production,Common macro,Journal of Business,"Chen, Roll and Ross (1986)","Chen, Nai-Fu, Richard Roll and Stephen A. Ross, 1986,  ``Economic forces and stock market"", Journal of Business 59, 383-403.",http://www.jstor.org/stable/pdfplus/2352710.pdf,z2_notfirm,not stock level cross section,NA,size sorted portfolios in Tab 4
NA,52,NA,Investment growth by financial firms,Financial firms investment growth,Common macro,Journal of Business,"Li, Vassalou and Xing (2006)","Li, Qing, Maria Vassalou and Yuhang Xing, 2006, ``Sector investment growth rates and the cross section of equity returns"", Journal of Business 79, 1637-1665.",http://www.jstor.org/stable/pdfplus/10.1086/500687.pdf,z2_notfirm,not stock level cross section,NA,NA
2006,49,NA,Investment growth by households,Household investment growth,Common macro,Journal of Business,"Li, Vassalou and Xing (2006)","Li, Qing, Maria Vassalou and Yuhang Xing, 2006, ``Sector investment growth rates and the cross section of equity returns"", Journal of Business 79, 1637-1665.",http://www.jstor.org/stable/pdfplus/10.1086/500687.pdf,z2_notfirm,not stock level cross section,NA,NA
NA,51,NA,Investment growth by nonfarm noncorporate business,Nonfarm noncorporate business investment growth,Common macro,Journal of Business,"Li, Vassalou and Xing (2006)","Li, Qing, Maria Vassalou and Yuhang Xing, 2006, ``Sector investment growth rates and the cross section of equity returns"", Journal of Business 79, 1637-1665.",http://www.jstor.org/stable/pdfplus/10.1086/500687.pdf,z2_notfirm,not stock level cross section,NA,NA
NA,50,NA,Investment growth by nonfarm nonfinancial corporate firms,Nonfarm nonfinancial corporate firms investment growth,Common macro,Journal of Business,"Li, Vassalou and Xing (2006)","Li, Qing, Maria Vassalou and Yuhang Xing, 2006, ``Sector investment growth rates and the cross section of equity returns"", Journal of Business 79, 1637-1665.",http://www.jstor.org/stable/pdfplus/10.1086/500687.pdf,z2_notfirm,not stock level cross section,NA,NA
2012,NA,NA,Labor income,Labor income at the census division level,Common macro,Working Paper,"Gomez, Priestley and Zapatero (2012)","Gomez, Juan-Pedro, Richard Priestley and Fernando Zapatero, 2012,  ``Labor income, relative wealth concerns, and the cross-section of stock returns"", Working Paper.",http://marshallinside.usc.edu/zapatero/Papers/HBH_new_v22.pdf,z2_notfirm,not stock level cross section,JFQA,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/article/labor-income-relative-wealth-concerns-and-the-cross-section-of-stock-returns/8C6BA6D3AA08C2CDA1F76B6D202DD9F7
NA,NA,NA,Labor income,Real labor income growth rate,Common macro,Journal of Finance,Jagannathan and Wang (1996),"Jagannathan, Ravi and Zhenyu Wang, 1996, ``The conditional CAPM and the cross-section of expected returns"", Journal of Finance 51, 3-53.",http://www.jstor.org/stable/pdfplus/2329301.pdf,z2_notfirm,not stock level cross section,NA,They use stock level to form 100 portfolios on which they run their tests. So I guess that is portfolio level then?
2012,105,NA,Market uncertainty,Proxied by variance risk premium,Common financial,Working Paper,Bali and Zhou (2012),"Bali, Turan G. and Hao Zhou, 2012,  ``Risk, uncertainty, and expected returns"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2020604,z2_notfirm,not stock level cross section,JFQA,https://www.cambridge.org/core/journals/journal-of-financial-and-quantitative-analysis/article/risk-uncertainty-and-expected-returns/01FBA8D271133EAB846678F4E7987E1A
2012,107,NA,Market-wide liquidity,"Proxied by ``noise"" in Treasury prices",Common microstructure,Working Paper,"Hu, Pan and Wang (2012)","Hu, Grace Xing, Jun Pan and Jiang Wang, 2012, ``Noise as information for illiquidity"", Working Paper.",http://www.mit.edu/~junpan/Noise.pdf?version=1,z2_notfirm,not stock level cross section,JF,https://onlinelibrary.wiley.com/doi/full/10.1111/jofi.12083
2011,88,NA,Rare disasters,Disaster index based on international political crises,Common financial,Journal of Financial Economics,"Berkman, Jacobsen and Lee (2011)","Berkman, Henk, Ben Jacobsen and John B. Lee, 2011, ``Time-varying rare disaster risk and stock returns"", Journal of Financial Economics 101, 313-332.",http://www.sciencedirect.com/science/article/pii/S0304405X11000523#,z2_notfirm,not stock level cross section,NA,Table 9 has regression results for 30 FF industry portfolios
NA,NA,NA,Slope of yield curve,Long-short government bond yield spread,Common financial,Journal of Finance,Jagannathan and Wang (1996),"Jagannathan, Ravi and Zhenyu Wang, 1996, ``The conditional CAPM and the cross-section of expected returns"", Journal of Finance 51, 3-53.",http://www.jstor.org/stable/pdfplus/2329301.pdf,z2_notfirm,not stock level cross section,NA,NA
2012,94,NA,Stochastic volatility,Estimated from a heteroscedastic VAR based on market and macro variables,Common financial,Working Paper,"Campbell, Giglio, Polk and Turley (2012)","Campbell, John Y., Stefano Giglio, Christopher Polk and Robert Turley, 2012, ``An Intertemporal CAPM with Stochastic Volatility"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2021846,z2_notfirm,not stock level cross section,JFE,https://www.sciencedirect.com/science/article/pii/S0304405X18300503
NA,NA,NA,Term structure,Yield curve slope measured as difference in return between long-term government bond and 1-month Treasury bill,Common financial,Journal of Business,"Chen, Roll and Ross (1986)","Chen, Nai-Fu, Richard Roll and Stephen A. Ross, 1986,  ``Economic forces and stock market"", Journal of Business 59, 383-403.",http://www.jstor.org/stable/pdfplus/2352710.pdf,z2_notfirm,not stock level cross section,NA,size sorted portfolios in Tab 4
2006,NA,NA,Third to tenth power of market return,Third to tenth power of market return,Common financial,Journal of Business,"Chung, Johnson and Schill (2006)","Chung, Y. Peter, Herb Johnson and Michael J. Schill, 2006,  ``Asset pricing when returns are nonnormal: Fama-French factors versus higher-order systematic comoments"", Journal of Business 79, 923-940.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=503122,z2_notfirm,not stock level cross section,NA,target size and B/M sorted portfolios
NA,NA,NA,Unanticipated inflation,Realized minus expected inflation,Common macro,Journal of Business,"Chen, Roll and Ross (1986)","Chen, Nai-Fu, Richard Roll and Stephen A. Ross, 1986,  ``Economic forces and stock market"", Journal of Business 59, 383-403.",http://www.jstor.org/stable/pdfplus/2352710.pdf,z2_notfirm,not stock level cross section,NA,size sorted portfolios in Tab 4
1996,NA,23,Credit rating,Institutional investor country credit rating from semi-annual survey,Individual other,Journal of Portfolio Management,"Erb, Harvey and Viskanta (1996)","Erb, Claude, Campbell Harvey and Tadas Viskanta, 1996, Expected returns and volatility in 135 countries, Journal of Portfolio Management 22, 46-58.",http://www.iijournals.com/doi/abs/10.3905/jpm.1996.409554,z2_notfirm,not stocks,NA,targets country portfolios
NA,23,NA,Change in expected GNP,Change in expectation from economic surveys,Common macro,Journal of Finance,"Elton, Gruber and Blake (1995)","Elton, Edwin J., Martin J. Gruber and Christopher R. Blake, 1995, ``Fundamental economic variables, expected returns, and bond fund performance"", Journal of Finance 50, 1229-1256.",http://www.jstor.org/stable/pdfplus/2329350.pdf,z2_notfirm,not stocks,NA,only studies bonds.  Not clear about predictability on a quick read
1995,22,NA,Change in expected inflation,Change in expectation from economic surveys,Common macro,Journal of Finance,"Elton, Gruber and Blake (1995)","Elton, Edwin J., Martin J. Gruber and Christopher R. Blake, 1995, ``Fundamental economic variables, expected returns, and bond fund performance"", Journal of Finance 50, 1229-1256.",http://www.jstor.org/stable/pdfplus/2329350.pdf,z2_notfirm,not stocks,NA,only studies bonds.  Not clear about predictability on a quick read
1993,NA,NA,Return on S&P stocks,Returns on S&P stocks,Common financial,Review of Financial Studies,"Elton, Gruber, Das and Hlavka (1993)","Elton, Edwin, Martin Gruber, Sanjiv Das and Matthew Hlavka, 1993, ``Efficiency with costly information: A reinterpretation of evidence from managed portfolios"", Review of Financial Studies 6, 1-22.",http://www.jstor.org/stable/10.2307/2961987,z2_notfirm,not stocks,NA,only studies bonds.  Not clear about predictability on a quick read
NA,NA,NA,Returns on non-S&P stocks,Returns on non-S&P stocks,Common financial,Review of Financial Studies,"Elton, Gruber, Das and Hlavka (1993)","Elton, Edwin, Martin Gruber, Sanjiv Das and Matthew Hlavka, 1993, ``Efficiency with costly information: A reinterpretation of evidence from managed portfolios"", Review of Financial Studies 6, 1-22.",http://www.jstor.org/stable/10.2307/2961987,z2_notfirm,not stocks,NA,targets bonds.  Not clear about predictability on a quick read
2009,NA,117,Analyst forecasts optimism,Relative optimism and pessimism proxied by the difference between long-term and short-term analyst forecast of earnings growth,Individual financial,Working Paper,Da and Warachka (2009),"Da, Zhi and Mitch Warachka, 2009, Long-term earnings growth forecasts, limited attention, and return predictability, Working Paper, University of Notre Dame.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1107637&download=yes,z2_notfirm,zz missing,NA,NA
2008,76,NA,Idiosyncratic component of S&P 500 return,Residual of the linear projection of the S&P 500 return onto the CRSP value weighted index return,Common financial,Working Paper,Brennan and Li (2008),"Brennan, Michael and Feifei Li, 2008, Agency and asset pricing, Working Paper, UCLA.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1104546&download=yes,z2_notfirm,zz missing,WP,Target assets are 25 portfolios
2011,NA,145,Dispersion in beliefs,Revealed through active holdings of fund managers,Individual behavioral,Working Paper,Jiang and Sun (2011),"Jiang, Hao and Zheng Sun, 2011, ``Dispersion in beliefs among active mutual funds and the cross-section of stock returns"", Working Paper.",http://merage.uci.edu/Resources/Documents/Disperion%20in%20Beliefs%20and%20Stock%20Returns%20_%20Jiang%20&%20Sun%200811.pdf,z3_harddata,CDA/Spectrum Mutual FundHoldings Databas,JFE,NA
2012,NA,167,Information intensity,Proxied by monthly frequency of current report filings,Individual microstructure,Working Paper,Zhao (2012),"Zhao, Xiaofei, 2012, ``Information intensity and the cross-section of stock returns"", Working Paper.",http://xiaofeizhao.org/wp-content/uploads/2012/09/quantInfo_jmp.pdf,z3_harddata,EDGAR 8K Filings,MS,https://pubsonline.informs.org/doi/pdf/10.1287/mnsc.2015.2408
2012,NA,174,Debt covenant protection,Firm-level covenant index constructed based on 30 covenant categories,Individual accounting,Working Paper,Wang (2012),"Wang, Yuan, 2012, ``Debt covenants and cross-sectional equity returns"", Working Paper.",http://northernfinance.org/2012/openconf/modules/request.php?module=oc_program&action=view.php&id=407,z3_harddata,FISD Covenant Data,MS,https://pubsonline.informs.org/doi/pdf/10.1287/mnsc.2015.2381
2011,NA,146,Credit default swap spreads,Five-year spread less one-year spread,Individual financial,Working Paper,Han and Zhou (2011),"Han, Bing and Yi Zhou, 2011, ``Term structure of credit default swap spreads and cross-section of stock returns"", Working Paper.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1735162,z3_harddata,Markit CDS data,WP,NA
2011,NA,150,Implied cost of capital,Implied cost of capital estimated using option contracts,Individual financial,Working Paper,Callen and Lyle (2011),"Callen, Jeffrey and Matthew Lyle, 2011, The term structure of implied costs of equity capital, Working Paper, University of Toronto.",http://papers.ssrn.com/sol3/papers.cfm?abstract_id=1975947,1_clear,zz missing,RAS,https://link.springer.com/content/pdf/10.1007/s11142-019-09513-z.pdf
1997,NA,26,Disclosure level,Voluntary disclosure level of manufacturing firms' annual reports,Individual accounting,Accounting Review,Botosan (1997),"Botosan, Christine A., 1997,  ``Disclosure level and the cost of equity capital"", Accounting Review, 72, 323-349.",http://www.jstor.org/stable/pdfplus/248475.pdf,z3_harddata,proprietary data,NA,NA
1997,NA,28,Corporate acquisitions,Difference between stock mergers and cash tender offers for corporate acquisitions,Individual financial,Journal of Finance,Loughran and Vijh (1997),"Loughran, Tim and Anand Vijh, 1997, Do long-term shareholders benefit from corporate acquisitions? Journal of Finance 52, 1765-1790.",http://www.jstor.org/stable/pdfplus/2329464.pdf?acceptTC=true,z3_harddata,proprietary data,NA,NA
